WARNING_AREA,TYPE,START_DAY,START_TIME,END_DAY,END_TIME
-,SW,20210713,AM,20210713,AM
-,SR,20210713,AM,20210713,AM
-,CW,20210713,AM,20210713,AM
-,DR,20210713,AM,20210713,AM
-,SS,20210713,AM,20210713,AM
-,WW,20210713,AM,20210713,AM
-,TY,20210713,AM,20210713,AM
-,SN,20210713,AM,20210713,AM
-,YD,20210713,AM,20210713,AM
세종,HW,20210713,AM,20210713,PM
부산,HW,20210713,AM,20210713,PM
대구,HW,20210713,AM,20210713,PM
광주,HW,20210713,AM,20210713,PM
대전,HW,20210713,AM,20210713,PM
강화,HW,20210713,AM,20210713,PM
서남권,HW,20210713,AM,20210713,PM
제주도동부,HW,20210713,AM,20210713,PM
제주도서부,HW,20210713,AM,20210713,PM
양산,HW,20210713,AM,20210713,PM
사천,HW,20210713,AM,20210713,PM
합천,HW,20210713,AM,20210713,PM
산청,HW,20210713,AM,20210713,PM
창녕,HW,20210713,AM,20210713,PM
의령,HW,20210713,AM,20210713,PM
밀양,HW,20210713,AM,20210713,PM
김해,HW,20210713,AM,20210713,PM
창원,HW,20210713,AM,20210713,PM
경주,HW,20210713,AM,20210713,PM
포항,HW,20210713,AM,20210713,PM
의성,HW,20210713,AM,20210713,PM
안동,HW,20210713,AM,20210713,PM
예천,HW,20210713,AM,20210713,PM
상주,HW,20210713,AM,20210713,PM
김천,HW,20210713,AM,20210713,PM
칠곡,HW,20210713,AM,20210713,PM
성주,HW,20210713,AM,20210713,PM
군위,HW,20210713,AM,20210713,PM
경산,HW,20210713,AM,20210713,PM
영천,HW,20210713,AM,20210713,PM
구미,HW,20210713,AM,20210713,PM
화순,HW,20210713,AM,20210713,PM
나주,HW,20210713,AM,20210713,PM
영광,HW,20210713,AM,20210713,PM
함평,HW,20210713,AM,20210713,PM
순천,HW,20210713,AM,20210713,PM
광양,HW,20210713,AM,20210713,PM
구례,HW,20210713,AM,20210713,PM
곡성,HW,20210713,AM,20210713,PM
담양,HW,20210713,AM,20210713,PM
제천,HW,20210713,AM,20210713,PM
단양,HW,20210713,AM,20210713,PM
충주,HW,20210713,AM,20210713,PM
영동,HW,20210713,AM,20210713,PM
옥천,HW,20210713,AM,20210713,PM
청주,HW,20210713,AM,20210713,PM
홍성,HW,20210713,AM,20210713,PM
예산,HW,20210713,AM,20210713,PM
청양,HW,20210713,AM,20210713,PM
부여,HW,20210713,AM,20210713,PM
금산,HW,20210713,AM,20210713,PM
논산,HW,20210713,AM,20210713,PM
아산,HW,20210713,AM,20210713,PM
공주,HW,20210713,AM,20210713,PM
천안,HW,20210713,AM,20210713,PM
홍천평지,HW,20210713,AM,20210713,PM
춘천,HW,20210713,AM,20210713,PM
화천,HW,20210713,AM,20210713,PM
원주,HW,20210713,AM,20210713,PM
화성,HW,20210713,AM,20210713,PM
가평,HW,20210713,AM,20210713,PM
양평,HW,20210713,AM,20210713,PM
안성,HW,20210713,AM,20210713,PM
이천,HW,20210713,AM,20210713,PM
용인,HW,20210713,AM,20210713,PM
하남,HW,20210713,AM,20210713,PM
남양주,HW,20210713,AM,20210713,PM
파주,HW,20210713,AM,20210713,PM
연천,HW,20210713,AM,20210713,PM
순창,HW,20210713,AM,20210713,PM
전주,HW,20210713,AM,20210713,PM
정읍,HW,20210713,AM,20210713,PM
익산,HW,20210713,AM,20210713,PM
완주,HW,20210713,AM,20210713,PM
김제,HW,20210713,AM,20210713,PM
인천,HW,20210713,AM,20210713,PM
서울,HW,20210713,AM,20210713,PM
신안,HW,20210713,AM,20210713,PM
울산,HW,20210713,AM,20210713,PM
제주도남부,HW,20210713,AM,20210713,PM
제주도북부,HW,20210713,AM,20210713,PM
진주,HW,20210713,AM,20210713,PM
남해,HW,20210713,AM,20210713,PM
고성,HW,20210713,AM,20210713,PM
거제,HW,20210713,AM,20210713,PM
통영,HW,20210713,AM,20210713,PM
거창,HW,20210713,AM,20210713,PM
함양,HW,20210713,AM,20210713,PM
하동,HW,20210713,AM,20210713,PM
함안,HW,20210713,AM,20210713,PM
경북북동산지,HW,20210713,AM,20210713,PM
울진평지,HW,20210713,AM,20210713,PM
영양평지,HW,20210713,AM,20210713,PM
