지역,생산일,예측파고,AI파고,서비스파고,예측수온,AI수온,서비스수온,예측지수,AI지수,서비스지수
상왕등도,20210713,0.3,0.5,0.6,22,23,23,보통,보통,보통
울진후정,20210713,0.1,0.2,0.3,23,24,24,좋음,좋음,좋음
추자도,20210713,1.2,1.2,1.2,25,24,24,나쁨,나쁨,나쁨
상왕등도,20210714,0.3,0.4,-,22,22,22,보통,보통,보통
울진후정,20210714,0.1,0.2,-,24,24,24,보통,보통,보통
추자도,20210714,1.1,1.2,-,26,25,24,나쁨,나쁨,나쁨
상왕등도,20210715,0.1,0.2,-,22,23,22,좋음,보통,좋음
울진후정,20210715,0.1,0.3,-,24,23,24,보통,보통,보통
추자도,20210715,0.7,0.8,-,26,25,24,나쁨,나쁨,보통
동명항,20210713,0.2,0.4,0.2,24,23,21,좋음,좋음,좋음
월포해수욕장,20210713,0.3,0.4,0.2,24,24,23,보통,보통,좋음
구조라해수욕장,20210713,0.3,0.5,0.6,22,22,22,좋음,좋음,보통
문섬,20210713,1.2,1.3,1,26,24,23,나쁨,나쁨,나쁨
동명항,20210714,0.2,0.2,-,25,23,21,좋음,좋음,좋음
월포해수욕장,20210714,0.2,0.2,-,24,24,24,좋음,좋음,좋음
구조라해수욕장,20210714,0.2,0.3,-,22,21,22,좋음,보통,좋음
문섬,20210714,1.0,1.0,-,26,24,23,나쁨,나쁨,나쁨
동명항,20210715,0.2,0.2,-,25,23,21,좋음,좋음,좋음
월포해수욕장,20210715,0.1,0.1,-,25,24,24,좋음,좋음,좋음
구조라해수욕장,20210715,0.1,0.2,-,22,23,22,좋음,좋음,좋음
문섬,20210715,0.7,0.8,-,26,24,23,보통,보통,보통
