OBS, STN, SST, MWHT, WHDIR, CDIR, SWP
조위관측,인천,23.95,-999.0,-999.0,-999.0,-999.0
조위관측,평택,23.23,-999.0,-999.0,-999.0,-999.0
조위관측,영광,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,제주,25.3,-999.0,-999.0,-999.0,-999.0
조위관측,부산,23.65,-999.0,-999.0,-999.0,-999.0
조위관측,묵호,21.81,-999.0,-999.0,-999.0,-999.0
조위관측,목포,22.9,-999.0,-999.0,-999.0,-999.0
조위관측,안산,23.84,-999.0,-999.0,-999.0,-999.0
조위관측,포항,22.33,-999.0,-999.0,-999.0,-999.0
조위관측,서귀포,22.8,-999.0,-999.0,-999.0,-999.0
조위관측,후포,21.7,-999.0,-999.0,-999.0,-999.0
조위관측,속초,19.8,-999.0,-999.0,-999.0,-999.0
조위관측,울릉도,23.49,-999.0,-999.0,-999.0,-999.0
조위관측,통영,23.3,-999.0,-999.0,-999.0,-999.0
조위관측,마산,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,여수,25.46,-999.0,-999.0,-999.0,-999.0
조위관측,대산,19.84,-999.0,-999.0,-999.0,-999.0
조위관측,군산,22.7,-999.0,-999.0,-999.0,-999.0
조위관측,가덕도,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,울산,18.82,-999.0,-999.0,-999.0,-999.0
조위관측,추자도,20.9,-999.0,-999.0,-999.0,-999.0
조위관측,성산포,22.4,-999.0,-999.0,-999.0,-999.0
조위관측,모슬포,24.9,-999.0,-999.0,-999.0,-999.0
조위관측,장항,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,보령,24.5,-999.0,-999.0,-999.0,-999.0
조위관측,고흥발포,24.87,-999.0,-999.0,-999.0,-999.0
조위관측,완도,22.08,-999.0,-999.0,-999.0,-999.0
조위관측,진도,22.28,-999.0,-999.0,-999.0,-999.0
조위관측,거제도,22.6,-999.0,-999.0,-999.0,-999.0
조위관측,위도,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,거문도,23.77,-999.0,-999.0,-999.0,-999.0
조위관측,강화대교,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,안흥,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,흑산도,20.01,-999.0,-999.0,-999.0,-999.0
조위관측,어청도,23.24,-999.0,-999.0,-999.0,-999.0
조위관측,굴업도,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,왕돌초,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,복사초,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,교본초,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,영흥도,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,영종대교,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,광양,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,태안,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,서천마량,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,인천송도,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,부산항신항,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,동해항,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,경인항,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,삼천포,24.2,-999.0,-999.0,-999.0,-999.0
해양부이,이어도,26.357,1.1,216.7,-999.0,6.05
해양부이,신안가거초,24.956,1.31,178.5,329.31,6.66
해양부이,옹진소청초,23.894,1.27,189.2,347.64,5.52
해양부이,경포대해수욕장,23.01,0.23,128,153.8,4.78
해양부이,상왕등도,22.24,0.59,230,37.6,4.2
해양부이,우이도,-999.0,1.4,224,330.1,5.96
해양부이,생일도,20.81,0.46,358,170.6,4.74
해양부이,해운대해수욕장,20.49,0.38,169,9.4,4.12
해양부이,군산항,22.71,-999.0,-999.0,31.8,-999.0
해양부이,평택·당진항,20.5,-999.0,-999.0,105.1,-999.0
해양부이,대천해수욕장,24.74,0.51,253,50,4.89
해양부이,여수항,24.21,-999.0,-999.0,185.9,-999.0
해양부이,통영항,23.1,-999.0,-999.0,58.6,-999.0
해양부이,완도항,22.15,-999.0,-999.0,121,-999.0
해양부이,부산항,21.35,-999.0,-999.0,120,-999.0
해양부이,부산항신항,23.01,-999.0,-999.0,286.9,-999.0
해양부이,경인항,24.68,-999.0,-999.0,0.7,-999.0
해양부이,광양항,25.23,-999.0,-999.0,134.7,-999.0
해양부이,태안항,19.13,-999.0,-999.0,40.9,-999.0
해양부이,감천항,16.79,0.07,-999.0,-999.0,5.04
해양부이,인천항,23.34,-999.0,-999.0,72.2,-999.0
해양부이,마산항,25.05,-999.0,-999.0,37,-999.0
해양부이,송정해수욕장,21.25,0.56,124,59.9,4.31
해양부이,낙산해수욕장,24.05,0.3,113,280.3,5.55
해양부이,중문해수욕장,24.09,0.97,206,133.8,5.94
해양부이,제주남부,27.3,-999.0,-999.0,-999.0,-999.0
해양부이,대한해협,24.1,0.71,197,62,4.1
해양부이,남해동부,-999.0,-999.0,-999.0,-999.0,-999.0
해양부이,제주해협,27.4,0.61,250,165,5.2
해양부이,울릉도북동,24.12,0.34,177,51,4.1
해양부이,울릉도북서,25.93,0.41,185,24,4
