생산일,코드,권역,해수욕장,예측년월일,시간,평균기온,기온점수,평균수온,수온점수,최대풍속,풍속점수,최대파고,파고점수,총점수,예보지수
20210902,HS1,황해중부,대천해수욕장,20210902,AM,23.9,3,25.8,5,5.7,3,0.3,5,4.30,좋음
20210902,HS1,황해중부,대천해수욕장,20210902,PM,24.2,4,26.2,5,5.0,3,0.2,5,4.35,좋음
20210902,HS2,황해중부,춘장대해수욕장,20210902,AM,24.0,4,26.0,5,4.5,4,0.2,5,4.65,좋음
20210902,HS2,황해중부,춘장대해수욕장,20210902,PM,24.2,4,26.5,5,4.7,4,0.1,5,4.65,좋음
20210902,HS3,황해중부,무창포해수욕장,20210902,AM,24.0,4,26.0,5,4.7,4,0.2,5,4.65,좋음
20210902,HS3,황해중부,무창포해수욕장,20210902,PM,24.2,4,26.5,5,4.8,4,0.2,5,4.65,좋음
20210902,HS4,황해중부,꽃지해수욕장,20210902,AM,24.8,4,25.3,5,4.6,4,0.2,5,4.65,좋음
20210902,HS4,황해중부,꽃지해수욕장,20210902,PM,24.2,4,26.0,5,4.2,4,0.2,5,4.65,좋음
20210902,HS5,황해중부,만리포해수욕장,20210902,AM,25.2,4,23.6,5,4.3,4,0.2,5,4.65,좋음
20210902,HS5,황해중부,만리포해수욕장,20210902,PM,24.0,4,24.3,5,4.4,4,0.1,5,4.65,좋음
20210902,HS6,황해중부,몽산포해수욕장,20210902,AM,23.7,3,25.0,5,4.5,4,0.2,5,4.60,좋음
20210902,HS6,황해중부,몽산포해수욕장,20210902,PM,23.7,3,25.6,5,3.4,4,0.2,5,4.60,좋음
20210902,HS7,황해남부,우전해수욕장,20210902,AM,22.7,3,26.9,5,6.1,3,0.2,5,4.30,좋음
20210902,HS7,황해남부,우전해수욕장,20210902,PM,22.7,3,27.0,5,2.8,4,0.1,5,4.60,좋음
20210902,HS8,황해중부,연포해수욕장,20210902,AM,23.4,3,24.9,5,4.8,4,0.2,5,4.60,좋음
20210902,HS8,황해중부,연포해수욕장,20210902,PM,23.7,3,25.6,5,3.1,4,0.2,5,4.60,좋음
20210902,HS9,황해중부,어은돌해수욕장,20210902,AM,23.8,3,23.8,5,5.0,3,0.2,5,4.30,좋음
20210902,HS9,황해중부,어은돌해수욕장,20210902,PM,23.5,3,24.6,5,4.9,4,0.2,5,4.60,좋음
20210902,HS10,황해중부,신두리해수욕장,20210902,AM,24.7,4,23.2,5,5.0,3,0.1,5,4.35,좋음
20210902,HS10,황해중부,신두리해수욕장,20210902,PM,23.9,3,23.7,5,4.6,4,0.1,5,4.60,좋음
20210902,HS11,황해중부,학암포해수욕장,20210902,AM,23.6,3,23.3,5,6.0,3,0.2,5,4.30,좋음
20210902,HS11,황해중부,학암포해수욕장,20210902,PM,23.4,3,24.4,5,5.1,3,0.2,5,4.30,좋음
