OBS, STN, SST, MWHT, WHDIR, CDIR, SWP
조위관측,인천,23.58,-999.0,-999.0,-999.0,-999.0
조위관측,평택,22.12,-999.0,-999.0,-999.0,-999.0
조위관측,영광,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,제주,25.3,-999.0,-999.0,-999.0,-999.0
조위관측,부산,22.79,-999.0,-999.0,-999.0,-999.0
조위관측,묵호,20.2,-999.0,-999.0,-999.0,-999.0
조위관측,목포,22.58,-999.0,-999.0,-999.0,-999.0
조위관측,안산,22.92,-999.0,-999.0,-999.0,-999.0
조위관측,포항,23.63,-999.0,-999.0,-999.0,-999.0
조위관측,서귀포,22.3,-999.0,-999.0,-999.0,-999.0
조위관측,후포,22,-999.0,-999.0,-999.0,-999.0
조위관측,속초,19.4,-999.0,-999.0,-999.0,-999.0
조위관측,울릉도,21.69,-999.0,-999.0,-999.0,-999.0
조위관측,통영,22.6,-999.0,-999.0,-999.0,-999.0
조위관측,마산,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,여수,25.66,-999.0,-999.0,-999.0,-999.0
조위관측,대산,18.95,-999.0,-999.0,-999.0,-999.0
조위관측,군산,21.94,-999.0,-999.0,-999.0,-999.0
조위관측,가덕도,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,울산,19.13,-999.0,-999.0,-999.0,-999.0
조위관측,추자도,19.8,-999.0,-999.0,-999.0,-999.0
조위관측,성산포,24.5,-999.0,-999.0,-999.0,-999.0
조위관측,모슬포,21.6,-999.0,-999.0,-999.0,-999.0
조위관측,장항,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,보령,23.9,-999.0,-999.0,-999.0,-999.0
조위관측,고흥발포,23.97,-999.0,-999.0,-999.0,-999.0
조위관측,완도,21.94,-999.0,-999.0,-999.0,-999.0
조위관측,진도,21.95,-999.0,-999.0,-999.0,-999.0
조위관측,거제도,23.3,-999.0,-999.0,-999.0,-999.0
조위관측,위도,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,거문도,22.73,-999.0,-999.0,-999.0,-999.0
조위관측,강화대교,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,안흥,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,흑산도,20.42,-999.0,-999.0,-999.0,-999.0
조위관측,어청도,21.81,-999.0,-999.0,-999.0,-999.0
조위관측,굴업도,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,왕돌초,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,복사초,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,교본초,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,영흥도,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,영종대교,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,광양,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,태안,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,서천마량,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,인천송도,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,부산항신항,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,동해항,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,경인항,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,삼천포,24.32,-999.0,-999.0,-999.0,-999.0
해양부이,이어도,25.497,1.47,187.35,-999.0,5.64
해양부이,신안가거초,25.427,0.61,172.77,300.5,5.51
해양부이,옹진소청초,22.984,0.64,181.32,116.32,6.41
해양부이,경포대해수욕장,21.96,0.42,275,306.6,4.54
해양부이,상왕등도,21.84,0.26,218,6.8,4.92
해양부이,우이도,-999.0,0.69,195,106.9,5.63
해양부이,생일도,21.36,0.3,163,111.4,5.36
해양부이,해운대해수욕장,20.7,0.47,175,261.9,4.66
해양부이,군산항,22.42,-999.0,-999.0,356.4,-999.0
해양부이,평택·당진항,20.52,-999.0,-999.0,106.9,-999.0
해양부이,대천해수욕장,24.05,0.35,172,33,3.51
해양부이,여수항,24.03,-999.0,-999.0,160,-999.0
해양부이,통영항,22.49,-999.0,-999.0,295.8,-999.0
해양부이,완도항,22.58,-999.0,-999.0,106,-999.0
해양부이,부산항,21.49,-999.0,-999.0,339,-999.0
해양부이,부산항신항,23.63,-999.0,-999.0,99.9,-999.0
해양부이,경인항,24.12,-999.0,-999.0,355.2,-999.0
해양부이,광양항,23.88,-999.0,-999.0,214.4,-999.0
해양부이,태안항,17.82,-999.0,-999.0,45,-999.0
해양부이,감천항,18.57,0.09,-999.0,-999.0,5.66
해양부이,인천항,22.69,-999.0,-999.0,42.8,-999.0
해양부이,마산항,24.17,-999.0,-999.0,217.6,-999.0
해양부이,송정해수욕장,21.48,0.57,194,56.5,5.19
해양부이,낙산해수욕장,21.89,0.45,251,84.2,3.54
해양부이,중문해수욕장,23.22,0.98,200,84.2,6.14
해양부이,제주남부,26.8,-999.0,-999.0,-999.0,-999.0
해양부이,대한해협,23.7,0.79,211,51,5.7
해양부이,남해동부,-999.0,-999.0,-999.0,-999.0,-999.0
해양부이,제주해협,26,0.6,100,99,4
해양부이,울릉도북동,23.39,0.48,143,59,5
해양부이,울릉도북서,23.14,0.44,59,183,4.3
