OBS, STN, SST, MWHT, WHDIR, CDIR, SWP
조위관측,인천,23.11,-999.0,-999.0,-999.0,-999.0
조위관측,평택,21.83,-999.0,-999.0,-999.0,-999.0
조위관측,영광,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,제주,25.1,-999.0,-999.0,-999.0,-999.0
조위관측,부산,22.51,-999.0,-999.0,-999.0,-999.0
조위관측,묵호,20.28,-999.0,-999.0,-999.0,-999.0
조위관측,목포,22.92,-999.0,-999.0,-999.0,-999.0
조위관측,안산,23.64,-999.0,-999.0,-999.0,-999.0
조위관측,포항,23.44,-999.0,-999.0,-999.0,-999.0
조위관측,서귀포,22.7,-999.0,-999.0,-999.0,-999.0
조위관측,후포,21.4,-999.0,-999.0,-999.0,-999.0
조위관측,속초,19.44,-999.0,-999.0,-999.0,-999.0
조위관측,울릉도,21.64,-999.0,-999.0,-999.0,-999.0
조위관측,통영,22.4,-999.0,-999.0,-999.0,-999.0
조위관측,마산,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,여수,24.3,-999.0,-999.0,-999.0,-999.0
조위관측,대산,18.55,-999.0,-999.0,-999.0,-999.0
조위관측,군산,22.6,-999.0,-999.0,-999.0,-999.0
조위관측,가덕도,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,울산,18.5,-999.0,-999.0,-999.0,-999.0
조위관측,추자도,19.5,-999.0,-999.0,-999.0,-999.0
조위관측,성산포,24.3,-999.0,-999.0,-999.0,-999.0
조위관측,모슬포,21.6,-999.0,-999.0,-999.0,-999.0
조위관측,장항,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,보령,23.7,-999.0,-999.0,-999.0,-999.0
조위관측,고흥발포,23.87,-999.0,-999.0,-999.0,-999.0
조위관측,완도,21.18,-999.0,-999.0,-999.0,-999.0
조위관측,진도,22,-999.0,-999.0,-999.0,-999.0
조위관측,거제도,22.5,-999.0,-999.0,-999.0,-999.0
조위관측,위도,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,거문도,22.82,-999.0,-999.0,-999.0,-999.0
조위관측,강화대교,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,안흥,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,흑산도,20.27,-999.0,-999.0,-999.0,-999.0
조위관측,어청도,21.94,-999.0,-999.0,-999.0,-999.0
조위관측,굴업도,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,왕돌초,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,복사초,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,교본초,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,영흥도,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,영종대교,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,광양,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,태안,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,서천마량,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,인천송도,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,부산항신항,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,동해항,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,경인항,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,삼천포,24.01,-999.0,-999.0,-999.0,-999.0
해양부이,이어도,25.431,0.78,223.05,-999.0,6.05
해양부이,신안가거초,25.342,0.68,180.96,185.22,5.79
해양부이,옹진소청초,23.079,0.44,186.98,162.03,6.64
해양부이,경포대해수욕장,21.94,0.4,180,148.7,4.72
해양부이,상왕등도,22.36,0.23,277,233.3,4.87
해양부이,우이도,-999.0,0.95,202,105,5.93
해양부이,생일도,21.45,0.37,156,255.2,5.42
해양부이,해운대해수욕장,21.24,0.5,182,152.2,5.47
해양부이,군산항,23.25,-999.0,-999.0,344.6,-999.0
해양부이,평택·당진항,21.75,-999.0,-999.0,306.1,-999.0
해양부이,대천해수욕장,23.46,0.23,20,177.9,4.63
해양부이,여수항,23.39,-999.0,-999.0,142.7,-999.0
해양부이,통영항,22.79,-999.0,-999.0,307.4,-999.0
해양부이,완도항,22.29,-999.0,-999.0,132.3,-999.0
해양부이,부산항,20.74,-999.0,-999.0,195.6,-999.0
해양부이,부산항신항,22.85,-999.0,-999.0,246.7,-999.0
해양부이,경인항,23.53,-999.0,-999.0,171.8,-999.0
해양부이,광양항,23.28,-999.0,-999.0,145.6,-999.0
해양부이,태안항,18.45,-999.0,-999.0,253.4,-999.0
해양부이,감천항,17.88,0.12,-999.0,-999.0,5.61
해양부이,인천항,22.43,-999.0,-999.0,242.4,-999.0
해양부이,마산항,24.35,-999.0,-999.0,174.9,-999.0
해양부이,송정해수욕장,22.39,0.47,167,52.6,6.26
해양부이,낙산해수욕장,21.88,0.43,53,142.4,5.08
해양부이,중문해수욕장,23.28,0.95,213,304.6,6.42
해양부이,제주남부,26.8,-999.0,-999.0,-999.0,-999.0
해양부이,대한해협,22.8,0.82,204,66,5.8
해양부이,남해동부,-999.0,-999.0,-999.0,-999.0,-999.0
해양부이,제주해협,25.7,0.5,271,55,4.8
해양부이,울릉도북동,22.37,0.46,64,202,5
해양부이,울릉도북서,22.62,0.38,47,120,5.1
