OBS, STN, SST, MWHT
조위관측,인천,23.77,-999.0
조위관측,평택,22.63,-999.0
조위관측,영광,-999.0,-999.0
조위관측,제주,25.7,-999.0
조위관측,부산,22.26,-999.0
조위관측,묵호,21.04,-999.0
조위관측,목포,22.91,-999.0
조위관측,안산,23.79,-999.0
조위관측,포항,22.81,-999.0
조위관측,서귀포,22.6,-999.0
조위관측,후포,22.5,-999.0
조위관측,속초,21.8,-999.0
조위관측,울릉도,23.23,-999.0
조위관측,통영,23.1,-999.0
조위관측,마산,-999.0,-999.0
조위관측,여수,24.81,-999.0
조위관측,대산,19.62,-999.0
조위관측,군산,22.43,-999.0
조위관측,가덕도,-999.0,-999.0
조위관측,울산,19.56,-999.0
조위관측,추자도,20.3,-999.0
조위관측,성산포,24.7,-999.0
조위관측,모슬포,21.8,-999.0
조위관측,장항,-999.0,-999.0
조위관측,보령,24.3,-999.0
조위관측,고흥발포,24.41,-999.0
조위관측,완도,21.79,-999.0
조위관측,진도,22.23,-999.0
조위관측,거제도,22.6,-999.0
조위관측,위도,-999.0,-999.0
조위관측,거문도,23.19,-999.0
조위관측,강화대교,-999.0,-999.0
조위관측,안흥,-999.0,-999.0
조위관측,흑산도,20.34,-999.0
조위관측,어청도,22.52,-999.0
조위관측,굴업도,-999.0,-999.0
조위관측,왕돌초,-999.0,-999.0
조위관측,복사초,-999.0,-999.0
조위관측,교본초,-999.0,-999.0
조위관측,영흥도,-999.0,-999.0
조위관측,영종대교,-999.0,-999.0
조위관측,광양,-999.0,-999.0
조위관측,태안,-999.0,-999.0
조위관측,서천마량,-999.0,-999.0
조위관측,인천송도,-999.0,-999.0
조위관측,부산항신항,-999.0,-999.0
조위관측,동해항,-999.0,-999.0
조위관측,경인항,-999.0,-999.0
조위관측,삼천포,24.11,-999.0
해양부이,이어도,26.309,0.92
해양부이,신안가거초,25.424,0.85
해양부이,옹진소청초,24.265,0.74
해양부이,경포대해수욕장,22.3,0.27
해양부이,상왕등도,22.3,0.26
해양부이,우이도,-999.0,0.73
해양부이,생일도,20.84,0.39
해양부이,해운대해수욕장,20.75,0.44
해양부이,군산항,22.36,-999.0
해양부이,평택·당진항,20.47,-999.0
해양부이,대천해수욕장,23.93,0.25
해양부이,여수항,23.6,-999.0
해양부이,통영항,22.71,-999.0
해양부이,완도항,22.58,-999.0
해양부이,부산항,21.57,-999.0
해양부이,부산항신항,24.74,-999.0
해양부이,경인항,24.41,-999.0
해양부이,광양항,25.77,-999.0
해양부이,태안항,20.96,-999.0
해양부이,감천항,21.16,0.09
해양부이,인천항,23.09,-999.0
해양부이,마산항,24.62,-999.0
해양부이,송정해수욕장,21.23,0.52
해양부이,낙산해수욕장,22.51,0.32
해양부이,중문해수욕장,23.86,0.74
해양부이,제주남부,27,-999.0
해양부이,대한해협,23.7,0.68
해양부이,남해동부,-999.0,-999.0
해양부이,제주해협,26.9,0.47
해양부이,울릉도북동,23.96,0.44
해양부이,울릉도북서,26.23,0.44
