OBS, STN, SST, MWHT
조위관측,인천,23.35,-999.0
조위관측,평택,21.9,-999.0
조위관측,영광,-999.0,-999.0
조위관측,제주,25.4,-999.0
조위관측,부산,22.76,-999.0
조위관측,묵호,20.46,-999.0
조위관측,목포,23.25,-999.0
조위관측,안산,24,-999.0
조위관측,포항,23.3,-999.0
조위관측,서귀포,23.2,-999.0
조위관측,후포,19.6,-999.0
조위관측,속초,19.33,-999.0
조위관측,울릉도,22.02,-999.0
조위관측,통영,22.5,-999.0
조위관측,마산,-999.0,-999.0
조위관측,여수,24.07,-999.0
조위관측,대산,18.72,-999.0
조위관측,군산,22.64,-999.0
조위관측,가덕도,-999.0,-999.0
조위관측,울산,18.37,-999.0
조위관측,추자도,19.9,-999.0
조위관측,성산포,24.8,-999.0
조위관측,모슬포,21.1,-999.0
조위관측,장항,-999.0,-999.0
조위관측,보령,23.9,-999.0
조위관측,고흥발포,23.96,-999.0
조위관측,완도,21.58,-999.0
조위관측,진도,22.16,-999.0
조위관측,거제도,22.1,-999.0
조위관측,위도,-999.0,-999.0
조위관측,거문도,22.27,-999.0
조위관측,강화대교,-999.0,-999.0
조위관측,안흥,-999.0,-999.0
조위관측,흑산도,19.99,-999.0
조위관측,어청도,22.5,-999.0
조위관측,굴업도,-999.0,-999.0
조위관측,왕돌초,-999.0,-999.0
조위관측,복사초,-999.0,-999.0
조위관측,교본초,-999.0,-999.0
조위관측,영흥도,-999.0,-999.0
조위관측,영종대교,-999.0,-999.0
조위관측,광양,-999.0,-999.0
조위관측,태안,-999.0,-999.0
조위관측,서천마량,-999.0,-999.0
조위관측,인천송도,-999.0,-999.0
조위관측,부산항신항,-999.0,-999.0
조위관측,동해항,-999.0,-999.0
조위관측,경인항,-999.0,-999.0
조위관측,삼천포,24.06,-999.0
해양부이,이어도,25.717,0.77
해양부이,신안가거초,25.672,1.4
해양부이,옹진소청초,23.259,0.46
해양부이,경포대해수욕장,21.55,0.25
해양부이,상왕등도,21.7,0.34
해양부이,우이도,-999.0,1.13
해양부이,생일도,21.68,0.4
해양부이,해운대해수욕장,20.82,0.45
해양부이,군산항,23.35,-999.0
해양부이,평택·당진항,20.73,-999.0
해양부이,대천해수욕장,23.72,0.3
해양부이,여수항,23.49,-999.0
해양부이,통영항,22.54,-999.0
해양부이,완도항,21.13,-999.0
해양부이,부산항,19.79,-999.0
해양부이,부산항신항,23.87,-999.0
해양부이,경인항,23.43,-999.0
해양부이,광양항,23.61,-999.0
해양부이,태안항,17.9,-999.0
해양부이,감천항,17.14,0.1
해양부이,인천항,22.3,-999.0
해양부이,마산항,24.14,-999.0
해양부이,송정해수욕장,23.19,0.47
해양부이,낙산해수욕장,22.23,0.37
해양부이,중문해수욕장,23.17,0.89
해양부이,제주남부,26.7,-999.0
해양부이,대한해협,22.7,0.75
해양부이,남해동부,-999.0,-999.0
해양부이,제주해협,25.9,0.62
해양부이,울릉도북동,22.67,0.79
해양부이,울릉도북서,23.31,0.74
