OBS, STN, SST, MWHT
조위관측,인천,25.73,-999.0
조위관측,평택,25.6,-999.0
조위관측,영광,-999.0,-999.0
조위관측,제주,26.2,-999.0
조위관측,부산,24.84,-999.0
조위관측,묵호,23.03,-999.0
조위관측,목포,25.71,-999.0
조위관측,안산,25.43,-999.0
조위관측,포항,25.81,-999.0
조위관측,서귀포,24.14,-999.0
조위관측,후포,25.3,-999.0
조위관측,속초,22.51,-999.0
조위관측,울릉도,24.46,-999.0
조위관측,통영,26.11,-999.0
조위관측,마산,-999.0,-999.0
조위관측,여수,27.37,-999.0
조위관측,대산,23.77,-999.0
조위관측,군산,25.81,-999.0
조위관측,가덕도,-999.0,-999.0
조위관측,울산,22.14,-999.0
조위관측,추자도,24.66,-999.0
조위관측,성산포,26.26,-999.0
조위관측,모슬포,23.3,-999.0
조위관측,장항,-999.0,-999.0
조위관측,보령,26.04,-999.0
조위관측,고흥발포,26.85,-999.0
조위관측,완도,25.44,-999.0
조위관측,진도,25.18,-999.0
조위관측,거제도,25.17,-999.0
조위관측,위도,-999.0,-999.0
조위관측,거문도,24.49,-999.0
조위관측,강화대교,-999.0,-999.0
조위관측,안흥,-999.0,-999.0
조위관측,흑산도,22.99,-999.0
조위관측,어청도,24.98,-999.0
조위관측,굴업도,-999.0,-999.0
조위관측,왕돌초,-999.0,-999.0
조위관측,복사초,-999.0,-999.0
조위관측,교본초,-999.0,-999.0
조위관측,영흥도,-999.0,-999.0
조위관측,영종대교,-999.0,-999.0
조위관측,광양,-999.0,-999.0
조위관측,태안,-999.0,-999.0
조위관측,서천마량,-999.0,-999.0
조위관측,인천송도,-999.0,-999.0
조위관측,부산항신항,-999.0,-999.0
조위관측,동해항,-999.0,-999.0
조위관측,경인항,-999.0,-999.0
조위관측,삼천포,26.19,-999.0
해양부이,이어도,28.222,0.33
해양부이,신안가거초,26.232,0.89
해양부이,옹진소청초,25.472,0.65
해양부이,경포대해수욕장,23.16,0.18
해양부이,상왕등도,25.74,0.23
해양부이,우이도,23.67,0.37
해양부이,생일도,23.6,0.14
해양부이,해운대해수욕장,24.51,0.25
해양부이,군산항,25.41,-999.0
해양부이,평택·당진항,24.93,-999.0
해양부이,대천해수욕장,25.57,0.19
해양부이,여수항,26.91,-999.0
해양부이,통영항,26.68,-999.0
해양부이,완도항,25.82,-999.0
해양부이,부산항,23.07,-999.0
해양부이,부산항신항,26.83,-999.0
해양부이,경인항,25.93,-999.0
해양부이,광양항,27.11,-999.0
해양부이,태안항,23.7,-999.0
해양부이,감천항,20.76,0.03
해양부이,인천항,25.22,-999.0
해양부이,마산항,26.65,-999.0
해양부이,송정해수욕장,24.42,0.29
해양부이,낙산해수욕장,23.15,0.38
해양부이,중문해수욕장,27.26,0.32
해양부이,제주남부,29.71,0.31
해양부이,대한해협,27.36,0.41
해양부이,남해동부,27.39,0.26
해양부이,제주해협,27.87,0.25
해양부이,울릉도북동,24.77,0.21
해양부이,울릉도북서,25.36,0.18
