OBS, STN, SST, MWHT
조위관측,인천,25.72,-999.0
조위관측,평택,25.54,-999.0
조위관측,영광,-999.0,-999.0
조위관측,제주,26.1,-999.0
조위관측,부산,24.54,-999.0
조위관측,묵호,23.82,-999.0
조위관측,목포,25.58,-999.0
조위관측,안산,25.35,-999.0
조위관측,포항,25.89,-999.0
조위관측,서귀포,23.43,-999.0
조위관측,후포,25.1,-999.0
조위관측,속초,22.54,-999.0
조위관측,울릉도,24.33,-999.0
조위관측,통영,26.32,-999.0
조위관측,마산,-999.0,-999.0
조위관측,여수,27.43,-999.0
조위관측,대산,23.84,-999.0
조위관측,군산,25.81,-999.0
조위관측,가덕도,-999.0,-999.0
조위관측,울산,24.06,-999.0
조위관측,추자도,26.39,-999.0
조위관측,성산포,26.12,-999.0
조위관측,모슬포,22.81,-999.0
조위관측,장항,-999.0,-999.0
조위관측,보령,25.84,-999.0
조위관측,고흥발포,26.91,-999.0
조위관측,완도,24.87,-999.0
조위관측,진도,24.06,-999.0
조위관측,거제도,25.01,-999.0
조위관측,위도,-999.0,-999.0
조위관측,거문도,25.21,-999.0
조위관측,강화대교,-999.0,-999.0
조위관측,안흥,-999.0,-999.0
조위관측,흑산도,24.84,-999.0
조위관측,어청도,24.83,-999.0
조위관측,굴업도,-999.0,-999.0
조위관측,왕돌초,-999.0,-999.0
조위관측,복사초,-999.0,-999.0
조위관측,교본초,-999.0,-999.0
조위관측,영흥도,-999.0,-999.0
조위관측,영종대교,-999.0,-999.0
조위관측,광양,-999.0,-999.0
조위관측,태안,-999.0,-999.0
조위관측,서천마량,-999.0,-999.0
조위관측,인천송도,-999.0,-999.0
조위관측,부산항신항,-999.0,-999.0
조위관측,동해항,-999.0,-999.0
조위관측,경인항,-999.0,-999.0
조위관측,삼천포,26.57,-999.0
해양부이,이어도,27.8,0.28
해양부이,신안가거초,26.3,0.58
해양부이,옹진소청초,26.252,0.42
해양부이,경포대해수욕장,23.1,0.24
해양부이,상왕등도,25.06,0.2
해양부이,우이도,22.15,0.32
해양부이,생일도,23.82,0.18
해양부이,해운대해수욕장,23.72,0.21
해양부이,군산항,25.36,-999.0
해양부이,평택·당진항,24.66,-999.0
해양부이,대천해수욕장,25.18,0.13
해양부이,여수항,26.48,-999.0
해양부이,통영항,26.24,-999.0
해양부이,완도항,24.85,-999.0
해양부이,부산항,22.66,-999.0
해양부이,부산항신항,27.28,-999.0
해양부이,경인항,25.93,-999.0
해양부이,광양항,27.77,-999.0
해양부이,태안항,23.37,-999.0
해양부이,감천항,24.59,0.03
해양부이,인천항,25.23,-999.0
해양부이,마산항,26.5,-999.0
해양부이,송정해수욕장,23.98,0.33
해양부이,낙산해수욕장,23.09,0.23
해양부이,중문해수욕장,26.12,0.31
해양부이,제주남부,28.9,0.35
해양부이,대한해협,27.1,0.3
해양부이,남해동부,27.08,0.28
해양부이,제주해협,27.13,0.23
해양부이,울릉도북동,24.4,0.37
해양부이,울릉도북서,25.46,0.29
