OBS, STN, SST, MWHT, WHDIR, CDIR, SWP
조위관측,인천,24.48,-999.0,-999.0,-999.0,-999.0
조위관측,평택,23.83,-999.0,-999.0,-999.0,-999.0
조위관측,영광,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,제주,25.5,-999.0,-999.0,-999.0,-999.0
조위관측,부산,23.54,-999.0,-999.0,-999.0,-999.0
조위관측,묵호,22.34,-999.0,-999.0,-999.0,-999.0
조위관측,목포,23.17,-999.0,-999.0,-999.0,-999.0
조위관측,안산,24.68,-999.0,-999.0,-999.0,-999.0
조위관측,포항,25.24,-999.0,-999.0,-999.0,-999.0
조위관측,서귀포,-5,-999.0,-999.0,-999.0,-999.0
조위관측,후포,23.6,-999.0,-999.0,-999.0,-999.0
조위관측,속초,20.11,-999.0,-999.0,-999.0,-999.0
조위관측,울릉도,23.36,-999.0,-999.0,-999.0,-999.0
조위관측,통영,23.2,-999.0,-999.0,-999.0,-999.0
조위관측,마산,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,여수,25.95,-999.0,-999.0,-999.0,-999.0
조위관측,대산,20.16,-999.0,-999.0,-999.0,-999.0
조위관측,군산,23.14,-999.0,-999.0,-999.0,-999.0
조위관측,가덕도,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,울산,18.78,-999.0,-999.0,-999.0,-999.0
조위관측,추자도,22.1,-999.0,-999.0,-999.0,-999.0
조위관측,성산포,22.85,-999.0,-999.0,-999.0,-999.0
조위관측,모슬포,23.85,-999.0,-999.0,-999.0,-999.0
조위관측,장항,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,보령,24.6,-999.0,-999.0,-999.0,-999.0
조위관측,고흥발포,24.98,-999.0,-999.0,-999.0,-999.0
조위관측,완도,22.03,-999.0,-999.0,-999.0,-999.0
조위관측,진도,22.52,-999.0,-999.0,-999.0,-999.0
조위관측,거제도,22.5,-999.0,-999.0,-999.0,-999.0
조위관측,위도,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,거문도,22.82,-999.0,-999.0,-999.0,-999.0
조위관측,강화대교,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,안흥,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,흑산도,20.06,-999.0,-999.0,-999.0,-999.0
조위관측,어청도,23.83,-999.0,-999.0,-999.0,-999.0
조위관측,굴업도,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,왕돌초,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,복사초,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,교본초,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,영흥도,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,영종대교,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,광양,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,태안,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,서천마량,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,인천송도,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,부산항신항,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,동해항,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,경인항,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,삼천포,24.26,-999.0,-999.0,-999.0,-999.0
해양부이,이어도,26.421,1.09,214.29,-999.0,5.51
해양부이,신안가거초,24.97,1.18,184.42,330.28,4.78
해양부이,옹진소청초,23.483,1.88,190.03,43.25,7.2
해양부이,경포대해수욕장,24.39,0.19,163,193.1,3.34
해양부이,상왕등도,21.96,0.57,234,68.6,4.88
해양부이,우이도,-999.0,1.37,219,338.3,5.99
해양부이,생일도,21.07,0.41,188,225.1,5.38
해양부이,해운대해수욕장,19.68,0.45,179,81.3,5.12
해양부이,군산항,23.13,-999.0,-999.0,40.5,-999.0
해양부이,평택·당진항,21.71,-999.0,-999.0,59.3,-999.0
해양부이,대천해수욕장,24.81,0.46,72,56.5,4.67
해양부이,여수항,24.27,-999.0,-999.0,189.6,-999.0
해양부이,통영항,22.2,-999.0,-999.0,36.7,-999.0
해양부이,완도항,22.58,-999.0,-999.0,99.8,-999.0
해양부이,부산항,21.71,-999.0,-999.0,134.7,-999.0
해양부이,부산항신항,21.81,-999.0,-999.0,107,-999.0
해양부이,경인항,25.07,-999.0,-999.0,350.4,-999.0
해양부이,광양항,24.79,-999.0,-999.0,216.8,-999.0
해양부이,태안항,19.54,-999.0,-999.0,33.4,-999.0
해양부이,감천항,16.64,0.12,-999.0,-999.0,5.28
해양부이,인천항,23.51,-999.0,-999.0,92.6,-999.0
해양부이,마산항,24.79,-999.0,-999.0,172.2,-999.0
해양부이,송정해수욕장,20.34,0.47,194,47,4.76
해양부이,낙산해수욕장,25.08,0.2,70,329.3,3.5
해양부이,중문해수욕장,24.66,0.9,207,129.5,5.87
해양부이,제주남부,27.7,-999.0,-999.0,-999.0,-999.0
해양부이,대한해협,25.2,0.69,221,60,5.3
해양부이,남해동부,-999.0,-999.0,-999.0,-999.0,-999.0
해양부이,제주해협,27.3,0.7,238,173,5.7
해양부이,울릉도북동,24.61,0.33,202,144,4.4
해양부이,울릉도북서,26.27,0.34,181,69,4.5
