OBS, STN, SST, MWHT, WHDIR, CDIR, SWP
조위관측,인천,23.68,-999.0,-999.0,-999.0,-999.0
조위관측,평택,22.62,-999.0,-999.0,-999.0,-999.0
조위관측,영광,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,제주,25.5,-999.0,-999.0,-999.0,-999.0
조위관측,부산,22.67,-999.0,-999.0,-999.0,-999.0
조위관측,묵호,22.34,-999.0,-999.0,-999.0,-999.0
조위관측,목포,23.26,-999.0,-999.0,-999.0,-999.0
조위관측,안산,24.7,-999.0,-999.0,-999.0,-999.0
조위관측,포항,23.47,-999.0,-999.0,-999.0,-999.0
조위관측,서귀포,23.5,-999.0,-999.0,-999.0,-999.0
조위관측,후포,22.8,-999.0,-999.0,-999.0,-999.0
조위관측,속초,20.45,-999.0,-999.0,-999.0,-999.0
조위관측,울릉도,23.34,-999.0,-999.0,-999.0,-999.0
조위관측,통영,22.8,-999.0,-999.0,-999.0,-999.0
조위관측,마산,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,여수,25.12,-999.0,-999.0,-999.0,-999.0
조위관측,대산,19.12,-999.0,-999.0,-999.0,-999.0
조위관측,군산,23.32,-999.0,-999.0,-999.0,-999.0
조위관측,가덕도,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,울산,18.55,-999.0,-999.0,-999.0,-999.0
조위관측,추자도,21.7,-999.0,-999.0,-999.0,-999.0
조위관측,성산포,23.05,-999.0,-999.0,-999.0,-999.0
조위관측,모슬포,24.36,-999.0,-999.0,-999.0,-999.0
조위관측,장항,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,보령,24.3,-999.0,-999.0,-999.0,-999.0
조위관측,고흥발포,25.01,-999.0,-999.0,-999.0,-999.0
조위관측,완도,22.25,-999.0,-999.0,-999.0,-999.0
조위관측,진도,22.63,-999.0,-999.0,-999.0,-999.0
조위관측,거제도,20.7,-999.0,-999.0,-999.0,-999.0
조위관측,위도,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,거문도,22.39,-999.0,-999.0,-999.0,-999.0
조위관측,강화대교,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,안흥,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,흑산도,20.03,-999.0,-999.0,-999.0,-999.0
조위관측,어청도,23.2,-999.0,-999.0,-999.0,-999.0
조위관측,굴업도,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,왕돌초,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,복사초,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,교본초,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,영흥도,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,영종대교,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,광양,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,태안,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,서천마량,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,인천송도,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,부산항신항,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,동해항,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,경인항,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,삼천포,24.27,-999.0,-999.0,-999.0,-999.0
해양부이,이어도,25.765,1.31,201.9,-999.0,5.31
해양부이,신안가거초,25.101,1.5,170.06,104.28,6.4
해양부이,옹진소청초,23.156,1.44,180.58,351.7,6.66
해양부이,경포대해수욕장,24.08,0.22,74,175,3.34
해양부이,상왕등도,23.03,0.57,227,282.2,5.63
해양부이,우이도,-999.0,1.4,198,162.8,6.75
해양부이,생일도,20.83,0.43,188,348.4,4.75
해양부이,해운대해수욕장,21.27,0.27,183,41.6,5.55
해양부이,군산항,22.85,-999.0,-999.0,264.5,-999.0
해양부이,평택·당진항,20.58,-999.0,-999.0,279.7,-999.0
해양부이,대천해수욕장,24.38,0.61,240,212.2,5.87
해양부이,여수항,24.29,-999.0,-999.0,32,-999.0
해양부이,통영항,22.92,-999.0,-999.0,0.9,-999.0
해양부이,완도항,22.15,-999.0,-999.0,121,-999.0
해양부이,부산항,19.52,-999.0,-999.0,4.8,-999.0
해양부이,부산항신항,24.37,-999.0,-999.0,5.2,-999.0
해양부이,경인항,23.96,-999.0,-999.0,176.7,-999.0
해양부이,광양항,24.03,-999.0,-999.0,7.3,-999.0
해양부이,태안항,18.55,-999.0,-999.0,240.1,-999.0
해양부이,감천항,16.2,0.13,-999.0,-999.0,5.56
해양부이,인천항,22.56,-999.0,-999.0,234.6,-999.0
해양부이,마산항,24.63,-999.0,-999.0,116.4,-999.0
해양부이,송정해수욕장,23.01,0.32,180,53.4,5.63
해양부이,낙산해수욕장,22.88,0.23,279,113.1,3.28
해양부이,중문해수욕장,24.73,0.86,203,342.7,6.13
해양부이,제주남부,27.3,-999.0,-999.0,-999.0,-999.0
해양부이,대한해협,24.4,0.62,228,44,6
해양부이,남해동부,-999.0,-999.0,-999.0,-999.0,-999.0
해양부이,제주해협,26.9,0.62,249,138,5.6
해양부이,울릉도북동,24.37,0.29,190,328,4.2
해양부이,울릉도북서,25.56,0.32,191,210,3.6
