WARNING_AREA,TYPE,START_DAY,START_TIME,END_DAY,END_TIME
-,SW,20210827,AM,20210827,AM
-,CW,20210827,AM,20210827,AM
-,DR,20210827,AM,20210827,AM
-,SS,20210827,AM,20210827,AM
-,WW,20210827,AM,20210827,AM
-,TY,20210827,AM,20210827,AM
-,SN,20210827,AM,20210827,AM
-,YD,20210827,AM,20210827,AM
영광,SR,20210827,AM,20210827,PM
전주,SR,20210827,AM,20210827,PM
정읍,SR,20210827,AM,20210827,PM
임실,SR,20210827,AM,20210827,PM
진안,SR,20210827,AM,20210827,PM
김제,SR,20210827,AM,20210827,PM
부안,SR,20210827,AM,20210827,PM
고창,SR,20210827,AM,20210827,PM
제주도동부,HW,20210827,AM,20210827,PM
제주도북부,HW,20210827,AM,20210827,PM
제주도서부,HW,20210827,AM,20210827,PM
사천,HW,20210827,AM,20210827,PM
하동,HW,20210827,AM,20210827,PM
창원,HW,20210827,AM,20210827,PM
장성,SR2,20210828,AM,20210828,PM
담양,SR2,20210828,AM,20210828,PM
