WARNING_AREA,TYPE,START_DAY,START_TIME,END_DAY,END_TIME
-,SW,20210826,AM,20210826,AM
-,SR,20210826,AM,20210826,AM
-,CW,20210826,AM,20210826,AM
-,DR,20210826,AM,20210826,AM
-,SS,20210826,AM,20210826,AM
-,WW,20210826,AM,20210826,AM
-,TY,20210826,AM,20210826,AM
-,SN,20210826,AM,20210826,AM
-,YD,20210826,AM,20210826,AM
제주도동부,HW,20210826,AM,20210826,PM
제주도북부,HW,20210826,AM,20210826,PM
제주도서부,HW,20210826,AM,20210826,PM
사천,HW,20210826,AM,20210826,PM
하동,HW,20210826,AM,20210826,PM
창원,HW,20210826,AM,20210826,PM
