OBS, STN, SST, MWHT
조위관측,인천,25.93,-999.0
조위관측,평택,25.9,-999.0
조위관측,영광,-999.0,-999.0
조위관측,제주,25.2,-999.0
조위관측,부산,23.87,-999.0
조위관측,묵호,22.6,-999.0
조위관측,목포,25.99,-999.0
조위관측,안산,25.49,-999.0
조위관측,포항,25.3,-999.0
조위관측,서귀포,22.15,-999.0
조위관측,후포,24.9,-999.0
조위관측,속초,22.62,-999.0
조위관측,울릉도,24.17,-999.0
조위관측,통영,26.27,-999.0
조위관측,마산,-999.0,-999.0
조위관측,여수,26.65,-999.0
조위관측,대산,23.2,-999.0
조위관측,군산,25.98,-999.0
조위관측,가덕도,-999.0,-999.0
조위관측,울산,20.9,-999.0
조위관측,추자도,22.3,-999.0
조위관측,성산포,23.86,-999.0
조위관측,모슬포,20.22,-999.0
조위관측,장항,-999.0,-999.0
조위관측,보령,26.56,-999.0
조위관측,고흥발포,26.63,-999.0
조위관측,완도,25.35,-999.0
조위관측,진도,25.02,-999.0
조위관측,거제도,22.88,-999.0
조위관측,위도,-999.0,-999.0
조위관측,거문도,24.85,-999.0
조위관측,강화대교,-999.0,-999.0
조위관측,안흥,-999.0,-999.0
조위관측,흑산도,22.6,-999.0
조위관측,어청도,25.22,-999.0
조위관측,굴업도,-999.0,-999.0
조위관측,왕돌초,-999.0,-999.0
조위관측,복사초,-999.0,-999.0
조위관측,교본초,-999.0,-999.0
조위관측,영흥도,-999.0,-999.0
조위관측,영종대교,-999.0,-999.0
조위관측,광양,-999.0,-999.0
조위관측,태안,-999.0,-999.0
조위관측,서천마량,-999.0,-999.0
조위관측,인천송도,-999.0,-999.0
조위관측,부산항신항,-999.0,-999.0
조위관측,동해항,-999.0,-999.0
조위관측,경인항,-999.0,-999.0
조위관측,삼천포,26.66,-999.0
해양부이,이어도,26.889,1.15
해양부이,신안가거초,26.287,1.33
해양부이,옹진소청초,24.71,0.87
해양부이,경포대해수욕장,22.92,0.75
해양부이,상왕등도,25.52,0.44
해양부이,우이도,22.45,1.03
해양부이,생일도,24.79,0.59
해양부이,해운대해수욕장,20.41,0.61
해양부이,군산항,25.71,-999.0
해양부이,평택·당진항,24.64,-999.0
해양부이,대천해수욕장,25.72,0.54
해양부이,여수항,26.64,-999.0
해양부이,통영항,25.06,-999.0
해양부이,완도항,24.68,-999.0
해양부이,부산항,21.28,-999.0
해양부이,부산항신항,25.27,-999.0
해양부이,경인항,26.18,-999.0
해양부이,광양항,26.83,-999.0
해양부이,태안항,22.89,-999.0
해양부이,감천항,16.15,0.19
해양부이,인천항,25.27,-999.0
해양부이,마산항,25.81,-999.0
해양부이,송정해수욕장,18.7,0.87
해양부이,낙산해수욕장,22.91,0.86
해양부이,중문해수욕장,22.63,1.13
해양부이,제주남부,26.87,1.59
해양부이,대한해협,25.14,1.26
해양부이,남해동부,24.9,1.67
해양부이,제주해협,26.33,0.69
해양부이,울릉도북동,24.31,1.15
해양부이,울릉도북서,24.53,1.1
