WARNING_AREA,TYPE,START_DAY,START_TIME,END_DAY,END_TIME
-,SW,20210709,AM,20210709,AM
-,SR,20210709,AM,20210709,AM
-,CW,20210709,AM,20210709,AM
-,DR,20210709,AM,20210709,AM
-,SS,20210709,AM,20210709,AM
-,WW,20210709,AM,20210709,AM
-,TY,20210709,AM,20210709,AM
-,SN,20210709,AM,20210709,AM
-,YD,20210709,AM,20210709,AM
양산,HW,20210709,AM,20210709,PM
창원,HW,20210709,AM,20210709,PM
김해,HW,20210709,AM,20210709,PM
밀양,HW,20210709,AM,20210709,PM
의령,HW,20210709,AM,20210709,PM
함안,HW,20210709,AM,20210709,PM
창녕,HW,20210709,AM,20210709,PM
진주,HW,20210709,AM,20210709,PM
하동,HW,20210709,AM,20210709,PM
산청,HW,20210709,AM,20210709,PM
함양,HW,20210709,AM,20210709,PM
거창,HW,20210709,AM,20210709,PM
합천,HW,20210709,AM,20210709,PM
사천,HW,20210709,AM,20210709,PM
남해,HW,20210709,AM,20210709,PM
세종,HW,20210709,AM,20210709,PM
울산,HW,20210709,AM,20210709,PM
부산,HW,20210709,AM,20210709,PM
대구,HW,20210709,AM,20210709,PM
광주,HW,20210709,AM,20210709,PM
대전,HW,20210709,AM,20210709,PM
제주도동부,HW,20210709,AM,20210709,PM
제주도북부,HW,20210709,AM,20210709,PM
제주도서부,HW,20210709,AM,20210709,PM
청도,HW,20210709,AM,20210709,PM
경주,HW,20210709,AM,20210709,PM
포항,HW,20210709,AM,20210709,PM
영덕,HW,20210709,AM,20210709,PM
청송,HW,20210709,AM,20210709,PM
의성,HW,20210709,AM,20210709,PM
안동,HW,20210709,AM,20210709,PM
상주,HW,20210709,AM,20210709,PM
김천,HW,20210709,AM,20210709,PM
칠곡,HW,20210709,AM,20210709,PM
성주,HW,20210709,AM,20210709,PM
고령,HW,20210709,AM,20210709,PM
군위,HW,20210709,AM,20210709,PM
경산,HW,20210709,AM,20210709,PM
영천,HW,20210709,AM,20210709,PM
구미,HW,20210709,AM,20210709,PM
화순,HW,20210709,AM,20210709,PM
나주,HW,20210709,AM,20210709,PM
영광,HW,20210709,AM,20210709,PM
함평,HW,20210709,AM,20210709,PM
영암,HW,20210709,AM,20210709,PM
순천,HW,20210709,AM,20210709,PM
광양,HW,20210709,AM,20210709,PM
구례,HW,20210709,AM,20210709,PM
곡성,HW,20210709,AM,20210709,PM
담양,HW,20210709,AM,20210709,PM
제천,HW,20210709,AM,20210709,PM
진천,HW,20210709,AM,20210709,PM
충주,HW,20210709,AM,20210709,PM
영동,HW,20210709,AM,20210709,PM
옥천,HW,20210709,AM,20210709,PM
괴산,HW,20210709,AM,20210709,PM
보은,HW,20210709,AM,20210709,PM
청주,HW,20210709,AM,20210709,PM
계룡,HW,20210709,AM,20210709,PM
부여,HW,20210709,AM,20210709,PM
금산,HW,20210709,AM,20210709,PM
논산,HW,20210709,AM,20210709,PM
아산,HW,20210709,AM,20210709,PM
공주,HW,20210709,AM,20210709,PM
천안,HW,20210709,AM,20210709,PM
홍천평지,HW,20210709,AM,20210709,PM
횡성,HW,20210709,AM,20210709,PM
춘천,HW,20210709,AM,20210709,PM
화천,HW,20210709,AM,20210709,PM
철원,HW,20210709,AM,20210709,PM
원주,HW,20210709,AM,20210709,PM
여주,HW,20210709,AM,20210709,PM
양평,HW,20210709,AM,20210709,PM
안성,HW,20210709,AM,20210709,PM
용인,HW,20210709,AM,20210709,PM
하남,HW,20210709,AM,20210709,PM
고양,HW,20210709,AM,20210709,PM
연천,HW,20210709,AM,20210709,PM
순창,HW,20210709,AM,20210709,PM
남원,HW,20210709,AM,20210709,PM
전주,HW,20210709,AM,20210709,PM
정읍,HW,20210709,AM,20210709,PM
익산,HW,20210709,AM,20210709,PM
임실,HW,20210709,AM,20210709,PM
완주,HW,20210709,AM,20210709,PM
