OBS, STN, SST, MWHT, WHDIR, CDIR, SWP
조위관측,인천,22.68,-999.0,-999.0,-999.0,-999.0
조위관측,평택,21.74,-999.0,-999.0,-999.0,-999.0
조위관측,영광,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,제주,24.9,-999.0,-999.0,-999.0,-999.0
조위관측,부산,22.25,-999.0,-999.0,-999.0,-999.0
조위관측,묵호,21.52,-999.0,-999.0,-999.0,-999.0
조위관측,목포,22.71,-999.0,-999.0,-999.0,-999.0
조위관측,안산,24.22,-999.0,-999.0,-999.0,-999.0
조위관측,포항,23.32,-999.0,-999.0,-999.0,-999.0
조위관측,서귀포,22,-999.0,-999.0,-999.0,-999.0
조위관측,후포,22.2,-999.0,-999.0,-999.0,-999.0
조위관측,속초,19.27,-999.0,-999.0,-999.0,-999.0
조위관측,울릉도,21.59,-999.0,-999.0,-999.0,-999.0
조위관측,통영,22.4,-999.0,-999.0,-999.0,-999.0
조위관측,마산,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,여수,24.1,-999.0,-999.0,-999.0,-999.0
조위관측,대산,18.31,-999.0,-999.0,-999.0,-999.0
조위관측,군산,22.27,-999.0,-999.0,-999.0,-999.0
조위관측,가덕도,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,울산,18.36,-999.0,-999.0,-999.0,-999.0
조위관측,추자도,19.8,-999.0,-999.0,-999.0,-999.0
조위관측,성산포,24.3,-999.0,-999.0,-999.0,-999.0
조위관측,모슬포,21.5,-999.0,-999.0,-999.0,-999.0
조위관측,장항,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,보령,23.6,-999.0,-999.0,-999.0,-999.0
조위관측,고흥발포,23.71,-999.0,-999.0,-999.0,-999.0
조위관측,완도,21.47,-999.0,-999.0,-999.0,-999.0
조위관측,진도,21.8,-999.0,-999.0,-999.0,-999.0
조위관측,거제도,22.3,-999.0,-999.0,-999.0,-999.0
조위관측,위도,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,거문도,21.77,-999.0,-999.0,-999.0,-999.0
조위관측,강화대교,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,안흥,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,흑산도,20.36,-999.0,-999.0,-999.0,-999.0
조위관측,어청도,21.34,-999.0,-999.0,-999.0,-999.0
조위관측,굴업도,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,왕돌초,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,복사초,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,교본초,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,영흥도,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,영종대교,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,광양,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,태안,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,서천마량,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,인천송도,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,부산항신항,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,동해항,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,경인항,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,삼천포,23.93,-999.0,-999.0,-999.0,-999.0
해양부이,이어도,25.199,1.04,203.85,-999.0,6.46
해양부이,신안가거초,25.005,1.07,182.38,267.5,6.68
해양부이,옹진소청초,20.989,0.71,171.25,335.85,6.46
해양부이,경포대해수욕장,22.19,0.45,36,153.7,4.83
해양부이,상왕등도,21.56,0.25,269,171.2,5.75
해양부이,우이도,-999.0,1.07,200,37.7,6.81
해양부이,생일도,21.61,0.45,168,264.9,6.09
해양부이,해운대해수욕장,21.04,0.62,179,161.8,6.85
해양부이,군산항,22.4,-999.0,-999.0,84.8,-999.0
해양부이,평택·당진항,20.8,-999.0,-999.0,313.2,-999.0
해양부이,대천해수욕장,22.81,0.27,56,191.4,5.5
해양부이,여수항,23.69,-999.0,-999.0,157.4,-999.0
해양부이,통영항,22.83,-999.0,-999.0,52.2,-999.0
해양부이,완도항,22.84,-999.0,-999.0,97.6,-999.0
해양부이,부산항,20.05,-999.0,-999.0,273.4,-999.0
해양부이,부산항신항,23.23,-999.0,-999.0,299.3,-999.0
해양부이,경인항,23.52,-999.0,-999.0,174.1,-999.0
해양부이,광양항,23.77,-999.0,-999.0,209.7,-999.0
해양부이,태안항,18.28,-999.0,-999.0,254.9,-999.0
해양부이,감천항,17.97,0.1,-999.0,-999.0,5.86
해양부이,인천항,22.57,-999.0,-999.0,235.4,-999.0
해양부이,마산항,23.89,-999.0,-999.0,321.8,-999.0
해양부이,송정해수욕장,19.98,0.59,196,58.8,6.43
해양부이,낙산해수욕장,22.46,0.45,74,145.2,4.72
해양부이,중문해수욕장,22.63,1.29,184,3.7,6.92
해양부이,제주남부,26.2,-999.0,-999.0,-999.0,-999.0
해양부이,대한해협,22.7,1,212,66,6.6
해양부이,남해동부,-999.0,-999.0,-999.0,-999.0,-999.0
해양부이,제주해협,25.4,0.6,240,118,4.3
해양부이,울릉도북동,21.61,0.78,71,126,4.9
해양부이,울릉도북서,22.32,0.56,59,24,4.9
