OBS, STN, SST, MWHT, WHDIR, CDIR, SWP
조위관측,인천,23.24,-999.0,-999.0,-999.0,-999.0
조위관측,평택,21.55,-999.0,-999.0,-999.0,-999.0
조위관측,영광,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,제주,25.2,-999.0,-999.0,-999.0,-999.0
조위관측,부산,21.56,-999.0,-999.0,-999.0,-999.0
조위관측,묵호,21.75,-999.0,-999.0,-999.0,-999.0
조위관측,목포,22.55,-999.0,-999.0,-999.0,-999.0
조위관측,안산,22.9,-999.0,-999.0,-999.0,-999.0
조위관측,포항,23.42,-999.0,-999.0,-999.0,-999.0
조위관측,서귀포,21.9,-999.0,-999.0,-999.0,-999.0
조위관측,후포,21.5,-999.0,-999.0,-999.0,-999.0
조위관측,속초,19.36,-999.0,-999.0,-999.0,-999.0
조위관측,울릉도,21.43,-999.0,-999.0,-999.0,-999.0
조위관측,통영,22.5,-999.0,-999.0,-999.0,-999.0
조위관측,마산,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,여수,25.38,-999.0,-999.0,-999.0,-999.0
조위관측,대산,18.49,-999.0,-999.0,-999.0,-999.0
조위관측,군산,21.67,-999.0,-999.0,-999.0,-999.0
조위관측,가덕도,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,울산,18.37,-999.0,-999.0,-999.0,-999.0
조위관측,추자도,19.9,-999.0,-999.0,-999.0,-999.0
조위관측,성산포,24.6,-999.0,-999.0,-999.0,-999.0
조위관측,모슬포,21.8,-999.0,-999.0,-999.0,-999.0
조위관측,장항,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,보령,23.3,-999.0,-999.0,-999.0,-999.0
조위관측,고흥발포,23.79,-999.0,-999.0,-999.0,-999.0
조위관측,완도,22.01,-999.0,-999.0,-999.0,-999.0
조위관측,진도,21.92,-999.0,-999.0,-999.0,-999.0
조위관측,거제도,22.9,-999.0,-999.0,-999.0,-999.0
조위관측,위도,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,거문도,22.13,-999.0,-999.0,-999.0,-999.0
조위관측,강화대교,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,안흥,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,흑산도,20.66,-999.0,-999.0,-999.0,-999.0
조위관측,어청도,21.37,-999.0,-999.0,-999.0,-999.0
조위관측,굴업도,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,왕돌초,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,복사초,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,교본초,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,영흥도,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,영종대교,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,광양,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,태안,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,서천마량,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,인천송도,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,부산항신항,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,동해항,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,경인항,-999.0,-999.0,-999.0,-999.0,-999.0
조위관측,삼천포,23.94,-999.0,-999.0,-999.0,-999.0
해양부이,이어도,25.849,1.03,195.77,-999.0,6.78
해양부이,신안가거초,25.339,0.89,172.52,13.06,6.51
해양부이,옹진소청초,22.045,0.65,179.42,7.01,6.81
해양부이,경포대해수욕장,22.11,0.55,66,133.1,4.5
해양부이,상왕등도,21.34,0.38,226,348.7,6.05
해양부이,우이도,-999.0,1.02,186,174.4,6.83
해양부이,생일도,21.17,0.31,139,113.6,5.9
해양부이,해운대해수욕장,21.44,0.43,181,292.3,6.43
해양부이,군산항,21.99,-999.0,-999.0,356.7,-999.0
해양부이,평택·당진항,20.12,-999.0,-999.0,108.3,-999.0
해양부이,대천해수욕장,22.84,0.3,218,8.7,5.36
해양부이,여수항,23.64,-999.0,-999.0,174.4,-999.0
해양부이,통영항,22.93,-999.0,-999.0,33.5,-999.0
해양부이,완도항,22.11,-999.0,-999.0,168.5,-999.0
해양부이,부산항,21.13,-999.0,-999.0,285.4,-999.0
해양부이,부산항신항,23.52,-999.0,-999.0,190.1,-999.0
해양부이,경인항,23.3,-999.0,-999.0,348.2,-999.0
해양부이,광양항,24.34,-999.0,-999.0,208.9,-999.0
해양부이,태안항,17.48,-999.0,-999.0,54.6,-999.0
해양부이,감천항,18.24,0.1,-999.0,-999.0,5.87
해양부이,인천항,22.37,-999.0,-999.0,52.5,-999.0
해양부이,마산항,24.26,-999.0,-999.0,226.6,-999.0
해양부이,송정해수욕장,22.08,0.72,191,52.8,6.08
해양부이,낙산해수욕장,21.01,0.42,85,106.4,4.69
해양부이,중문해수욕장,22.94,0.98,201,74.3,6.21
해양부이,제주남부,26.5,-999.0,-999.0,-999.0,-999.0
해양부이,대한해협,23.3,0.95,206,70,5.9
해양부이,남해동부,-999.0,-999.0,-999.0,-999.0,-999.0
해양부이,제주해협,25.7,0.67,46,100,3.8
해양부이,울릉도북동,22.37,0.67,69,191,5
해양부이,울릉도북서,22.43,0.56,79,93,5.1
